ng,tm,category,doi,archive_path,tm_ng_bond_changes
He,Zr,TM_NG_coexist_no_bond,10.1021/ja5046814,10.1021/ja5046814/ja5046814_si_001/29_-1_1.tar.zst,
Ne,Co,not_converged,10.1021/acs.joc.8b01322,10.1021/acs.joc.8b01322/jo8b01322_si_001/02_0_1.tar.zst,
Ne,V,not_converged,10.1021/jp203276g,10.1021/jp203276g/jp203276g_si_001/20_0_2.tar.zst,
Ne,V,not_converged,10.1021/jp203276g,10.1021/jp203276g/jp203276g_si_001/21_-1_1.tar.zst,
Ar,Ag,TM_NG_coexist_no_bond,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/05_-1_1.tar.zst,
Ar,Ag,TM_NG_coexist_no_bond,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/12_-1_1.tar.zst,
Ar,Rh,TM_NG_coexist_no_bond,10.1021/acs.jpca.6b08822,10.1021/acs.jpca.6b08822/jp6b08822_si_001/07_-1_2.tar.zst,
Ar,Sc,TM_NG_coexist_no_bond,10.1021/acs.jcim.9b00404,10.1021/acs.jcim.9b00404/ci9b00404_si_001/22_0_2.tar.zst,
Ar,V,TM_NG_coexist_no_bond,10.1021/acs.jpca.3c00301,10.1021/acs.jpca.3c00301/jp3c00301_si_001/30_0_2.tar.zst,
Ar,V,TM_NG_coexist_no_bond,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/65_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/06_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/08_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/09_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/13_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/18_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/23_-1_1.tar.zst,
Ar,Ag,not_converged,10.1021/acs.jpca.0c08081,10.1021/acs.jpca.0c08081/jp0c08081_si_001/25_-1_1.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/03_-1_1.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/04_-1_1.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/07_-1_2.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/08_-1_2.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/12_-1_1.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/13_0_2.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/14_-1_1.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/17_-1_2.tar.zst,
Ar,Fe,not_converged,10.1021/jp500152c,10.1021/jp500152c/jp500152c_si_001/18_-1_2.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.1c02217,10.1021/acs.jpca.1c02217/jp1c02217_si_001/25_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.3c00301,10.1021/acs.jpca.3c00301/jp3c00301_si_001/29_0_2.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/41_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/44_0_2.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/45_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/46_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/51_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/52_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/57_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/59_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/60_-1_1.tar.zst,
