element,archive_path,count
He,10.1002/adsc.201800433/adsc201800433-sup-0001-misc_information/01_0_1.tar.zst,1
He,10.1002/adfm.202000570/adfm202000570-sup-0001-suppmat/02_0_1.tar.zst,1
He,10.1002/adfm.202000570/adfm202000570-sup-0001-suppmat/03_0_1.tar.zst,1
He,10.1002/adfm.202000570/adfm202000570-sup-0001-suppmat/04_0_1.tar.zst,1
He,10.1002/adfm.202000570/adfm202000570-sup-0001-suppmat/05_0_1.tar.zst,1
He,10.1002/adfm.202000570/adfm202000570-sup-0001-suppmat/06_0_1.tar.zst,1
He,10.1002/adfm.202315215/adfm202315215-sup-0001-suppmat/05_-1_2.tar.zst,1
He,10.1002/anie.202306563/anie202306563-sup-0001-misc_information/01_-1_2.tar.zst,1
He,10.1002/anie.202318548/anie202318548-sup-0001-misc_information/25_-1_2.tar.zst,1
He,10.1002/anie.202402053/anie202402053-sup-0001-misc_information/01_0_1.tar.zst,1
He,10.1002/chem.201203318/chem_201203318_sm_miscellaneous_information/08_-1_2.tar.zst,1
He,10.1002/chem.201203318/chem_201203318_sm_miscellaneous_information/10_0_1.tar.zst,1
He,10.1002/chem.201203318/chem_201203318_sm_miscellaneous_information/24_-1_2.tar.zst,1
He,10.1002/chem.201203318/chem_201203318_sm_miscellaneous_information/26_0_1.tar.zst,1
Ar,10.1002/chem.201803842/chem201803842-sup-0001-misc_information/05_-1_2.tar.zst,2
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/05_-1_2.tar.zst,1
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/06_-1_2.tar.zst,1
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/07_-1_2.tar.zst,1
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/08_-1_2.tar.zst,2
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/09_-1_2.tar.zst,2
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/10_-1_2.tar.zst,2
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/11_0_1.tar.zst,3
Ar,10.1002/chem.202200577/chem202200577-sup-0001-misc_information/12_-1_2.tar.zst,3
He,10.1002/cplu.201800284/cplu201800284-sup-0001-misc_information/03_1_1.tar.zst,1
He,10.1002/ejoc.202300656/ejoc202300656-sup-0001-misc_information/07_-1_1.tar.zst,1
He,10.1002/slct.201600525/slct201600525-sup-0001-misc_information/03_-1_2.tar.zst,2
He,10.1016/j.matt.2020.08.028/mmc1/01_0_1.tar.zst,1
He,10.1016/j.matt.2020.08.028/mmc2/01_0_1.tar.zst,1
Ne,10.1021/acs.chemmater.0c02708/cm0c02708_si_004/02_-1_1.tar.zst,1
He,10.1021/acs.est.1c02997/es1c02997_si_001/01_-1_2.tar.zst,1
He,10.1021/acs.estlett.4c00557/ez4c00557_si_001/01_-1_2.tar.zst,1
He,10.1021/acs.iecr.3c02820/ie3c02820_si_001/01_-1_2.tar.zst,1
He,10.1021/acs.iecr.9b01251/ie9b01251_si_003/08_-1_1.tar.zst,1
He,10.1021/acs.inorgchem.8b01550/ic8b01550_si_001/06_0_2.tar.zst,1
He,10.1021/acs.inorgchem.8b01550/ic8b01550_si_001/02_-1_2.tar.zst,1
Ar,10.1021/acs.jcim.9b00404/ci9b00404_si_001/22_0_2.tar.zst,1
He,10.1021/acs.jctc.7b01154/ct7b01154_si_001/02_0_1.tar.zst,8
