doi,n_leaves_parsed,n_xyz_total,elements
10.1002/ejoc.202001306,1,6,C H O
10.1002/ejoc.202001344,1,26,C F H N
10.1002/ejoc.202001349,1,72,C H O Pd
10.1002/ejoc.202001418,1,3,C H O S
10.1002/ejoc.202001428,1,74,C H O Pd
10.1002/ejoc.202001453,1,54,C H O
10.1002/ejoc.202001469,2,116,C O
10.1002/ejoc.202001544,1,19,C H N O S
10.1002/ejoc.202001613,1,6,C H N O
10.1002/ejoc.202001638,1,3,C H N O
10.1002/ejoc.202100022,1,41,B
10.1002/ejoc.202100032,1,14,C H O
10.1002/ejoc.202100042,1,10,C O
10.1002/ejoc.202100044,1,41,C H
10.1002/ejoc.202100086,1,2,C H N
10.1002/ejoc.202100093,1,119,C H O Rh
10.1002/ejoc.202100124,1,26,C H N S
10.1002/ejoc.202100143,1,28,C H O
10.1002/ejoc.202100198,1,6,C H N O S
10.1002/ejoc.202100202,1,33,C H
10.1002/ejoc.202100267,1,8,C H N O
10.1002/ejoc.202100276,1,2,C H O
10.1002/ejoc.202100355,1,15,C Cl Cr H N O
10.1002/ejoc.202100365,1,17,C H N
10.1002/ejoc.202100471,1,36,C H O
10.1002/ejoc.202100486,1,51,C H N
10.1002/ejoc.202100488,1,10,C H N O S
10.1002/ejoc.202100535,1,31,C H
10.1002/ejoc.202100565,1,14,C H O
10.1002/ejoc.202100604,1,11,C H N O Si
10.1002/ejoc.202100632,1,11,C H P Pd
10.1002/ejoc.202100659,1,57,C H N S
10.1002/ejoc.202100698,1,10,C Cl H N O
10.1002/ejoc.202100759,1,28,C F H O
10.1002/ejoc.202100780,1,4,C H Si
10.1002/ejoc.202100793,1,10,C H N O
10.1002/ejoc.202100818,1,20,C H N O
10.1002/ejoc.202100827,1,20,C H N O
10.1002/ejoc.202100848,1,14,Br C H O
10.1002/ejoc.202100869,1,10,Br C H O
10.1002/ejoc.202100883,1,72,C H N O
10.1002/ejoc.202100891,1,2,C F H N
10.1002/ejoc.202100939,1,31,C H N
10.1002/ejoc.202100955,1,10,C H N O S
10.1002/ejoc.202100972,1,46,C H O
10.1002/ejoc.202100975,1,84,C H N O
10.1002/ejoc.202101001,1,64,B C F
10.1002/ejoc.202101009,1,13,Br C H Mg N O
10.1002/ejoc.202101047,1,13,C H N O
10.1002/ejoc.202101107,1,36,B
10.1002/ejoc.202101119,1,4,C H O
10.1002/ejoc.202101137,1,18,C H O
10.1002/ejoc.202101156,1,54,C Cl H N O
10.1002/ejoc.202101173,1,29,C H N O
10.1002/ejoc.202101234,1,1,B
10.1002/ejoc.202101238,1,12,C H N Si
10.1002/ejoc.202101244,1,31,C H N
10.1002/ejoc.202101273,1,5,C H
10.1002/ejoc.202101298,1,18,C H O
10.1002/ejoc.202101306,1,6,C H N S
10.1002/ejoc.202101312,1,5,C H N P
10.1002/ejoc.202101315,1,2,C H
10.1002/ejoc.202101398,1,11,C H N S
10.1002/ejoc.202101409,1,36,C H Li O
10.1002/ejoc.202101416,37,37,B C F H O
10.1002/ejoc.202101447,1,35,C H N O P Rh
10.1002/ejoc.202101477,1,66,Al C Cl H P Pd
10.1002/ejoc.202101489,1,22,C H O
10.1002/ejoc.202101517,1,3,C H O
10.1002/ejoc.202101548,1,10,C H N O S
10.1002/ejoc.202101572,1,20,C F H N O S
10.1002/ejoc.202200003,1,9,C H O
10.1002/ejoc.202200163,1,9,C H N O S
10.1002/ejoc.202200204,1,158,H
10.1002/ejoc.202200224,1,58,C H O P Ru
10.1002/ejoc.202200243,1,8,C H N O
10.1002/ejoc.202200280,1,8,C H Mn N O
10.1002/ejoc.202200349,1,25,C H N
10.1002/ejoc.202200376,1,22,C H O
10.1002/ejoc.202200377,1,50,C H N O Pd
10.1002/ejoc.202200408,1,116,C H N
10.1002/ejoc.202200420,1,105,C H N
10.1002/ejoc.202200478,1,938,C H N O
10.1002/ejoc.202200490,1,2,C H N O Ru S
10.1002/ejoc.202200494,1,7,C H N
10.1002/ejoc.202200539,1,93,C H N
10.1002/ejoc.202200572,1,165,C Cl H O
10.1002/ejoc.202200590,1,12,C H O
10.1002/ejoc.202200597,1,10,C Cl H N
10.1002/ejoc.202200601,1,36,C H N O
10.1002/ejoc.202200631,1,17,C H K O
10.1002/ejoc.202200642,1,49,B C F H
10.1002/ejoc.202200722,1,49,Pd
10.1002/ejoc.202200728,1,8,C H N O Pd
10.1002/ejoc.202200747,1,8,Ne
10.1002/ejoc.202200770,1,1,C F H N O S
10.1002/ejoc.202200772,20,20,C H N O
10.1002/ejoc.202200828,1,150,C H O S
10.1002/ejoc.202200908,1,22,C H N
10.1002/ejoc.202200982,1,4,C F H I O S
10.1002/ejoc.202200996,1,4,C F H S
10.1002/ejoc.202201005,1,10,Ba Er I In Nd Tb
10.1002/ejoc.202201022,1,4,C H O
10.1002/ejoc.202201028,1,124,C H O
10.1002/ejoc.202201059,1,8,C Cl Co H N O S
10.1002/ejoc.202201067,1,25,C H I O
10.1002/ejoc.202201144,1,49,C Fe O
10.1002/ejoc.202201164,1,4,B C H N
10.1002/ejoc.202201209,1,1,C H O P
10.1002/ejoc.202201247,1,6,C
10.1002/ejoc.202201283,1,2,B C H N P Ru S
10.1002/ejoc.202201289,1,54,B C H
10.1002/ejoc.202201290,1,22,B C H N O
10.1002/ejoc.202201295,1,26,Al C Cl F H I O
10.1002/ejoc.202201301,1,3,C
10.1002/ejoc.202201373,1,8,C H
10.1002/ejoc.202201399,1,4,B C Cl H N O
10.1002/ejoc.202201422,1,60,C Cu H O P
10.1002/ejoc.202201432,1,17,C H N O
10.1002/ejoc.202201466,1,12,C Cl H P Ru
10.1002/ejoc.202300038,1,20,B C H N
10.1002/ejoc.202300069,1,12,C H N O S
10.1002/ejoc.202300080,1,6,C H N O
10.1002/ejoc.202300168,1,12,C H O
10.1002/ejoc.202300197,1,2,C H O
10.1002/ejoc.202300223,1,14,C F H O Si
10.1002/ejoc.202300310,1,1,C H N O
10.1002/ejoc.202300331,1,15,C Cl H Te
10.1002/ejoc.202300359,1,1,H
10.1002/ejoc.202300407,1,12,Al Ar B Be C Cl F H He Li Mg N Na Ne O P S Si
10.1002/ejoc.202300435,1,24,B C
10.1002/ejoc.202300449,1,250,Al Ar B Be C Ca Cl Cr F Fe H He K Li Mg Mn N Na Ne O P S Sc Si Ti V
10.1002/ejoc.202300520,1,38,C H O
10.1002/ejoc.202300550,1,6,C H O
10.1002/ejoc.202300552,1,8,C H O
10.1002/ejoc.202300568,1,31,Am Db Ds Fm
10.1002/ejoc.202300573,1,6,C
10.1002/ejoc.202300608,1,4,C H O
10.1002/ejoc.202300621,1,4,C H N Zn
10.1002/ejoc.202300720,1,16,F
10.1002/ejoc.202300765,1,12,B C Cu F H O
10.1002/ejoc.202300772,1,1,C H N Zn
10.1002/ejoc.202300777,1,6,B C F H N
10.1002/ejoc.202300804,1,149,C H O P
10.1002/ejoc.202300838,1,22,C H Se
10.1002/ejoc.202300839,1,72,B C F H
10.1002/ejoc.202300863,2,16,C H O S
10.1002/ejoc.202300870,1,2,C H N S
10.1002/ejoc.202300921,1,38,C Cl H N O
10.1002/ejoc.202300954,1,2,C H I Li O S Zn
10.1002/ejoc.202301013,1,29,C H O Pd
10.1002/ejoc.202301086,1,28,C H O
10.1002/ejoc.202301092,1,5,C H N
10.1002/ejoc.202301101,1,3,C H
10.1002/ejoc.202301140,1,21,C F H N
10.1002/ejoc.202301148,1,59,C N O
10.1002/ejoc.202301183,1,9,C Cr H N O S Si
10.1002/ejoc.202301196,1,3,C H N O
10.1002/ejoc.202301207,1,33,C H
10.1002/ejoc.202301299,1,8,C H N
10.1002/ejoc.202301310,1,4,C H N O
10.1002/ejoc.202400008,1,6,C H N O Pd S
10.1002/ejoc.202400022,1,11,C H N
10.1002/ejoc.202400025,1,7,C H N O
10.1002/ejoc.202400053,1,2,C Fe H N O
10.1002/ejoc.202400125,1,57,C H N O
10.1002/ejoc.202400133,1,94,C H Na O
10.1002/ejoc.202400135,1,4,C H
10.1002/ejoc.202400137,1,27,C F H I N O P S
10.1002/ejoc.202400151,1,21,C N
10.1002/ejoc.202400155,1,8,C H N O
10.1002/ejoc.202400219,1,24,C H O
10.1002/ejoc.202400236,1,11,C H N O
10.1002/ejoc.202400253,1,36,Ge
10.1002/ejoc.202400298,1,16,C H N
10.1002/ejoc.202400323,1,38,C F H N O
10.1002/ejoc.202400328,1,12,C Cu H N O S
10.1002/ejoc.202400340,1,43,C H
10.1002/ejoc.202400347,1,30,C Cl H
10.1002/ejoc.202400375,1,61,C H O P
10.1002/ejoc.202400404,1,29,C H N
10.1002/ejoc.202400408,1,6,C H
10.1002/ejoc.202400412,1,5,C H N O
10.1002/ejoc.202400439,1,6,C H N
10.1002/ejoc.202400444,1,39,Br C H N O S
10.1002/ejoc.202400450,1,14,C H N O
10.1002/ejoc.202400455,1,20,C H N O S
10.1002/ejoc.202400484,1,15,C H N O
10.1002/ejoc.202400487,1,52,C H
10.1002/ejoc.202400507,1,46,C H N
10.1002/ejoc.202400555,1,7,Br C H N O
10.1002/ejoc.202400566,1,23,C H O
10.1002/ejoc.202400570,1,11,C H
10.1002/ejoc.202400588,1,2,C F H O
10.1002/ejoc.202400601,1,51,C H N
10.1002/ejoc.202400608,1,34,C H O
10.1002/ejoc.202400612,1,73,C H O
10.1002/ejoc.202400626,1,12,C H N O
10.1002/ejoc.202400650,1,25,C H N O
10.1002/ejoc.202400670,1,9,C H Ir N O
10.1002/ejoc.202400679,1,37,C H O P
10.1002/ejoc.202400697,1,145,C H
10.1002/ejoc.202400757,1,17,Ag C H N O P
10.1002/ejoc.202400779,1,50,C F H I
10.1002/ejoc.202400812,1,2,H
10.1002/ejoc.202400816,1,20,C H O
10.1002/ejoc.202400834,1,18,C Cl H O
10.1002/ejoc.202400838,1,9,B C H N
10.1002/ejoc.202400873,1,18,C H N O P
10.1002/ejoc.202400881,1,6,B Be C F H He Li N Na Ne O
10.1002/ejoc.202400930,1,4,C H P
10.1002/ejoc.202400981,1,18,C H N O
10.1002/ejoc.202400991,1,2,C H O
10.1002/ejoc.202401045,1,8,C H N O
10.1002/ejoc.202401068,1,2,H O
10.1002/ejoc.202401102,1,29,C H N
10.1002/ejoc.202401139,1,7,C H
10.1002/ejoc.202401155,1,47,C Cu H Si
10.1002/ejoc.202401173,1,21,C F H I O
10.1002/ejoc.202401193,1,1,Be H He Li
10.1002/ejoc.202401203,1,178,C H O
10.1002/ejoc.202401217,1,3,C H N Ni
10.1002/ejoc.202401245,1,7,C N Se
10.1002/ejoc.202401248,1,19,C H N O S Se
10.1002/ejoc.202401308,1,7,C F H N O S
10.1002/ejoc.202401312,1,25,H
10.1002/ejoc.202401351,1,4,C H N O Si
10.1002/ejoc.202401364,1,28,C H O
10.1002/ejoc.202401384,1,1,B Be C He Li
10.1002/ejoc.202401386,1,32,C H N O Pd
10.1002/ejoc.202401409,1,3,Al B Be C Cl F H He Li Mg N Na Ne O P S Si
10.1002/ejoc.202401413,1,1,Be H He Li
10.1002/ejoc.202500003,1,7,C H O
10.1002/ejoc.202500004,1,16,C S
10.1002/ejoc.202500091,1,33,C Cl H O
10.1002/ejoc.202500119,1,7,Br C H Na O
10.1002/ejoc.202500130,1,50,C H N
10.1002/ejoc.202500153,1,43,C H Si
10.1002/ejoc.202500219,1,25,C H O P S
10.1002/ejoc.202500290,1,17,C H
10.1002/ejoc.202500296,1,18,C H N O
10.1002/ejoc.202500313,1,23,C H N
10.1002/ejoc.202500344,1,7,C H O Se
10.1002/ejoc.202500387,1,37,C H N S
10.1002/open.201200020,1,2,C H N
10.1002/open.201200037,1,38,C F H I O S
10.1002/open.201300009,1,66,H N
10.1002/open.201402017,1,8,C Cl H N Pd
10.1002/open.201402066,1,18,C H O
10.1002/open.201402123,1,48,O
10.1002/open.201402125,1,6,C H O
10.1002/open.201402164,1,1,F Md
10.1002/open.201500093,1,55,C H N
10.1002/open.201500122,1,3,H
10.1002/open.201500136,1,46,C Cl H Pt
10.1002/open.201500172,1,11,C
10.1002/open.201600066,1,146,H O
10.1002/open.201600131,1,18,Bi C H
10.1002/open.201600169,1,20,O
10.1002/open.201700027,1,33,P
10.1002/open.201700028,1,16,N O
10.1002/open.201700083,1,8,C H O S
10.1002/open.201800006,1,2,C H
10.1002/open.201800114,1,4,C H Li N
10.1002/open.201800191,1,29,C Co H
10.1002/open.201800193,1,27,C H
10.1002/open.201800237,1,29,C H
10.1002/open.201800259,1,7,C Fe H N O
10.1002/open.201800275,1,16,F H N
10.1002/open.201900076,1,24,Au C H N
10.1002/open.201900176,1,69,C Cl H O P
10.1002/open.201900182,1,31,C Fe H P
10.1002/open.201900230,1,9,C H N O
10.1002/open.201900271,1,2,C H N O Re
10.1002/open.201900282,1,145,C O
10.1002/open.201900293,1,3,C Cu H N O
10.1002/open.202000034,1,3,C Cl H N O
10.1002/open.202000079,1,1,Al Mo
10.1002/open.202000110,1,93,C H N O
10.1002/open.202000137,1,60,C F H O
10.1002/open.202000191,1,10,Al C Cl H N
10.1002/open.202000248,1,102,C F Fe H N O
10.1002/open.202000323,1,70,F O
10.1002/open.202000344,1,3,H He
10.1002/open.202100049,1,11,C H O
10.1002/open.202100104,1,2,C H N O S
10.1002/open.202100108,1,44,H
10.1002/open.202100231,1,288,C H N O P
10.1002/open.202100240,1,16,C H N Si
10.1002/open.202100254,1,69,C H O Rh
10.1002/open.202100265,1,18,C H S
10.1002/open.202200020,1,34,C N O Pt
10.1002/open.202200185,1,20,Pd
10.1002/open.202200197,1,2,B C Cl F H N O
10.1002/open.202200240,1,55,C Ca H N
10.1002/open.202200254,1,64,Be He
10.1002/open.202300060,1,4,C H N O P Ru
10.1002/open.202300128,1,16,C H N
10.1002/open.202300169,1,7,C H O S
10.1002/open.202300264,1,24,C H
10.1002/open.202300285,1,58,B C H N O
10.1002/open.202300291,1,11,C H Ir N O S
10.1002/open.202400304,1,1,C Co H N O
10.1002/open.202400306,1,5,C H La N O
10.1002/open.202400400,1,10,C H N O
10.1002/open.202400415,1,8,C H O Ru
10.1002/open.202400490,1,5,C H N O
10.1002/open.202400525,1,6,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Li Mg Mn N Na Ne Ni O P S Sc Se Si Ti V Zn
10.1002/open.202500001,1,2,H O
10.1002/slct.201500027,1,4,Ac Ag Al Ar As At Au B Ba Be Bi Br C Ca Cd Ce Cl Co Cr Cs Cu Dy Er Eu F Fe Fr Ga Gd Ge H He Hf Hg Ho I In Ir K Kr La Li Lu Mg Mn Mo N Na Nb Nd Ne Ni O Os P Pb Pd Pm Po Pr Pt Ra Rb Re Rh Rn Ru S Sb Sc Se Si Sm Sn Sr Ta Tb Tc Te Th Ti Tl Tm V W Xe Y Yb Zn Zr
10.1002/slct.201500054,1,69,C H O Se
10.1002/slct.201600033,1,3,C H N O S
10.1002/slct.201600061,1,51,C F H N O S
10.1002/slct.201600067,1,11,C Cl H P
10.1002/slct.201600082,1,13,C O Ru
10.1002/slct.201600125,1,3,H He
10.1002/slct.201600130,1,24,C H N O
10.1002/slct.201600155,1,6,C H O
10.1002/slct.201600229,1,2,C H N O S
10.1002/slct.201600319,1,2,C H N O
10.1002/slct.201600352,1,3,C H N O Ru
10.1002/slct.201600459,1,57,C H N O
10.1002/slct.201600501,1,31,C H N
10.1002/slct.201600504,1,5,C H N S
10.1002/slct.201600525,1,12,C
10.1002/slct.201600582,1,36,C H O
10.1002/slct.201600631,1,12,C H O S
10.1002/slct.201600668,1,18,C H N
10.1002/slct.201600688,1,8,C H N O
10.1002/slct.201600697,1,54,C H S
10.1002/slct.201600701,1,82,C H N Ni O
10.1002/slct.201600717,1,5,Ag Al Ar As B Be Br C Ca Cd Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn Mo N Na Nb Ne Ni O P Pd Rb Rh Ru S Sc Se Si Sr Tc Ti V Y Zn Zr
10.1002/slct.201600775,1,1,C H N O Tb
10.1002/slct.201600843,1,6,C H N O
10.1002/slct.201600860,1,151,C H O P Ru
10.1002/slct.201600888,1,5,C H P
10.1002/slct.201601105,1,1,C H
10.1002/slct.201601458,1,4,C H K N O S
10.1002/slct.201601491,1,16,C H O Pt
10.1002/slct.201601531,1,13,C H O
10.1002/slct.201601699,1,11,C O Pt
10.1002/slct.201601704,1,3,B C H N
10.1002/slct.201601738,1,2,C Cu H N O S
10.1002/slct.201601743,1,77,C H N
10.1002/slct.201601888,1,44,C H O
10.1002/slct.201700043,1,15,C Cl Cr H N O
10.1002/slct.201700045,1,9,C H N O
10.1002/slct.201700056,1,1,C H N
10.1002/slct.201700079,1,1,C Cr H N O
10.1002/slct.201700103,1,1,Pt
10.1002/slct.201700153,1,1,S
10.1002/slct.201700174,1,8,Br C H S
10.1002/slct.201700198,1,13,C H N O
10.1002/slct.201700217,1,5,C H N
10.1002/slct.201700222,1,6,C H N O
10.1002/slct.201700266,1,1,C H N
10.1002/slct.201700307,1,34,C H
10.1002/slct.201700391,1,26,C H Li N O U
10.1002/slct.201700392,1,1,C H N O
10.1002/slct.201700537,1,1,Hs
10.1002/slct.201700582,1,35,C H O
10.1002/slct.201700730,1,8,C H O
10.1002/slct.201700747,1,33,C Fe H
10.1002/slct.201700751,1,9,C
10.1002/slct.201700844,1,38,C H O
10.1002/slct.201700897,1,18,C H Ni O P
10.1002/slct.201700946,1,45,C Cr F H O
10.1002/slct.201701046,1,4,C Cl H N O P Ru S
10.1002/slct.201701103,1,42,C H N
10.1002/slct.201701129,1,10,B Be C H He Li
10.1002/slct.201701336,1,5,C H N
10.1002/slct.201701373,1,2,C H N S
10.1002/slct.201701393,1,11,C H N O
10.1002/slct.201701407,1,46,C H O
10.1002/slct.201701415,1,4,C H N
10.1002/slct.201701634,1,7,C Cl Ga H N O
10.1002/slct.201701653,1,6,C H N O
10.1002/slct.201701679,1,34,C H N O
10.1002/slct.201701688,1,20,C H N O Pu
10.1002/slct.201701762,1,4,C H N O
10.1002/slct.201701770,1,6,C Cl H N O P Pd
10.1002/slct.201701814,1,30,Al C H N O
10.1002/slct.201702136,1,4,B C
10.1002/slct.201702166,1,3,C Cl Fe H N O
10.1002/slct.201702530,1,33,C H N O
10.1002/slct.201702541,1,12,C F H O
10.1002/slct.201702718,1,20,C H N O
10.1002/slct.201702805,1,1,Ca Fm Hg Nd Ne Sn Th Yb Zn Zr
10.1002/slct.201702840,1,2,C H N O
10.1002/slct.201702848,1,8,C Cl H N O S Zn
10.1002/slct.201702861,1,4,C H N Ni O S
10.1002/slct.201702912,1,11,B C F N O
10.1002/slct.201702948,1,14,C H N Ni O S
10.1002/slct.201703059,1,9,C H N O S
10.1002/slct.201703168,1,10,C Er H N O
10.1002/slct.201800035,1,6,C H N
10.1002/slct.201800040,1,51,Gd Ge O S
10.1002/slct.201800044,1,6,C H
10.1002/slct.201800045,1,6,Cu
10.1002/slct.201800147,1,2,C H N O
10.1002/slct.201800224,1,14,C H N O
10.1002/slct.201800367,1,49,C H N O
10.1002/slct.201800369,1,7,C H N O
10.1002/slct.201800447,1,15,C H N O
10.1002/slct.201800537,1,13,Co Cu Fe Mn Zn
10.1002/slct.201800633,1,202,C H N
10.1002/slct.201800739,1,4,C H N
10.1002/slct.201800802,1,5,Ho
10.1002/slct.201801064,1,17,C H O
10.1002/slct.201801172,1,1,C Co H N O
10.1002/slct.201801185,1,30,C H N O P Pd S
10.1002/slct.201801201,1,14,C H O
10.1002/slct.201801470,1,3,Nd Th Zn
10.1002/slct.201801495,1,6,C Cl H P Si
10.1002/slct.201801715,1,1,C H N O
10.1002/slct.201801734,1,22,C O
10.1002/slct.201801794,1,1,B C F H N O
10.1002/slct.201802055,1,1,C H O
10.1002/slct.201802062,1,8,C H O S
10.1002/slct.201802225,1,40,H
10.1002/slct.201802239,1,2630,H
10.1002/slct.201802249,1,1,C H Hg N O S
10.1002/slct.201802535,1,2,Fm
10.1002/slct.201802644,1,4,Br C H N Ni
10.1002/slct.201802749,1,41,C H O Pd
10.1002/slct.201802996,1,2,C Cd H N O
10.1002/slct.201803103,1,8,H He Li
10.1002/slct.201803202,1,6,C H N O
10.1002/slct.201803353,1,2,C H K N O
10.1002/slct.201803390,18,19,C H O
10.1002/slct.201803560,1,1,He
10.1002/slct.201803668,1,2,C H Mn N O
10.1002/slct.201803804,1,4,C H O P
10.1002/slct.201804064,1,5,C H N
10.1002/slct.201900006,1,58,C F H
10.1002/slct.201900028,1,11,H N O V
10.1002/slct.201900338,1,45,C H O
10.1002/slct.201900383,1,2,C H N O
10.1002/slct.201900522,1,14,C H O
10.1002/slct.201900895,1,35,C H N O S
10.1002/slct.201900938,1,9,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu F Fe Ga Ge H He I In K Kr La Li Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Tc Te Ti V Xe Y Zn Zr
10.1002/slct.201900946,1,27,C Cl H N O
10.1002/slct.201901082,1,1,B Fm H Sn Zn
10.1002/slct.201901141,1,7,C H N O
10.1002/slct.201901212,1,2,C Cl H N O S
10.1002/slct.201901218,1,26,C H O
10.1002/slct.201901737,1,90,B C H N O
10.1002/slct.201901767,1,59,C O
10.1002/slct.201902070,1,9,C H N O
10.1002/slct.201902097,1,16,C Co H O P
10.1002/slct.201902100,1,1,B Be C H He Li N O
10.1002/slct.201902281,1,5,C Cu H N O
10.1002/slct.201902381,1,3,C H N O S
10.1002/slct.201902583,1,18,C H N O Si
10.1002/slct.201903032,1,16,C H N O
10.1002/slct.201903247,1,1,Ca Es Hg Nd Sn Zr
10.1002/slct.201903296,1,4,C Cl H N Pt
10.1002/slct.201903403,1,4,C H N O S
10.1002/slct.201903546,1,14,Cl F
10.1002/slct.201903664,1,3,B H N
10.1002/slct.201903682,1,2,C H
10.1002/slct.201903837,1,9,Br C Fe H N O
10.1002/slct.201903896,1,2,C Cu H I N
10.1002/slct.201904106,1,14,C H N O
10.1002/slct.201904393,1,14,Am C H N O
10.1002/slct.201904411,1,10,C H O S
10.1002/slct.201904583,1,6,B C F H N O
10.1002/slct.201904781,1,4,C H N O
10.1002/slct.201904948,1,17,C H N O
10.1002/slct.202000106,1,33,C H O
10.1002/slct.202000146,1,2,H O
10.1002/slct.202000817,1,22,C H Pd
10.1002/slct.202000949,1,28,C H O
10.1002/slct.202001128,1,3,C N
10.1002/slct.202001198,1,4,Be Li
10.1002/slct.202001564,1,19,Au
10.1002/slct.202001820,1,18,C Fe H N O S
10.1002/slct.202001840,1,250,C H N Ni O
10.1002/slct.202001976,1,7,H O
10.1002/slct.202002112,1,12,C Co H N O P S
10.1002/slct.202002139,1,17,C H O
10.1002/slct.202002224,1,26,C H I O
10.1002/slct.202002243,1,6,C H N O
10.1002/slct.202002295,1,6,C Cl Cu H N
10.1002/slct.202002369,1,35,C H N O P
10.1002/slct.202002412,1,6,C
10.1002/slct.202002415,1,12,Be C H N
10.1002/slct.202002589,1,39,C H N
10.1002/slct.202002802,1,13,C H N
10.1002/slct.202002811,1,35,C F H N
10.1002/slct.202002889,1,1,Br C H N O Ru S
10.1002/slct.202002923,1,80,C H S
10.1002/slct.202002960,1,1,C H O
10.1002/slct.202003286,1,36,C H O
10.1002/slct.202003294,1,142,C Co H O
10.1002/slct.202003968,1,12,C H N O Ru
10.1002/slct.202004050,1,61,C F H N O S
10.1002/slct.202004152,1,12,C H N
10.1002/slct.202004241,1,11,C H S
10.1002/slct.202004320,1,46,C H
10.1002/slct.202004481,1,3,C H N
10.1002/slct.202004495,1,2,C H
10.1002/slct.202004601,1,23,C H O
10.1002/slct.202004721,1,5,Ac Ag Al Am Ar As At Au B Ba Be Bh Bi Bk Br C Ca Cd Ce Cf Cl Cm Co Cr Cs Cu Db Dy Er Es Eu F Fe Fm Fr Ga Gd Ge H He Hf Hg Ho Hs I In Ir K Kr La Li Lr Lu Md Mg Mn Mo N Na Nb Nd Ne Ni No Np O Os P Pa Pb Pd Pm Po Pr Pt Pu Ra Rb Re Rf Rh Rn Ru S Sb Sc Se Sg Si Sm Sn Sr Ta Tb Tc Te Th Ti Tl Tm U V W Xe Y Yb Zn Zr
10.1002/slct.202100057,1,2,Co Cu Fe Mo Ni
10.1002/slct.202100147,1,1,C H N O S
10.1002/slct.202100174,1,12,C H N O
10.1002/slct.202100485,1,5,C H N S
10.1002/slct.202100524,1,26,C H O
10.1002/slct.202100712,1,39,C Fe H N O
10.1002/slct.202100769,1,6,Br C H N O
10.1002/slct.202100814,1,5,C H N Ni O S
10.1002/slct.202100887,1,144,Cl H N Pt
10.1002/slct.202100970,1,1,C Cl H O Os S
10.1002/slct.202101037,1,105,C H
10.1002/slct.202101366,1,6,C H N S
10.1002/slct.202101423,1,10,C H S
10.1002/slct.202101775,1,37,C H N Ru S
10.1002/slct.202102145,1,2,C H N O
10.1002/slct.202102167,1,21,Au C H N P
10.1002/slct.202102224,1,2,Br
10.1002/slct.202102317,1,44,C Mg O
10.1002/slct.202102375,1,35,C H Se
10.1002/slct.202102574,1,18,B Cl H N
10.1002/slct.202102622,1,1,C Cl H N O
10.1002/slct.202102697,1,35,B Li
10.1002/slct.202102906,1,17,C F H N
10.1002/slct.202102928,1,311,Br C H N
10.1002/slct.202103030,1,5,C H N O
10.1002/slct.202103286,1,6,C H N Na O
10.1002/slct.202103408,1,2,C Cd Cl H N O S
10.1002/slct.202103487,1,36,C H N
10.1002/slct.202103592,1,2,Fm
10.1002/slct.202103698,1,13,C Ga H N O P
10.1002/slct.202103708,1,45,C H O
10.1002/slct.202103723,1,35,C
10.1002/slct.202103841,1,3,C Cl H N O Pd
10.1002/slct.202103918,1,7,B C F H N O
10.1002/slct.202103929,1,43,C H N
10.1002/slct.202104059,1,24,Br C H N O
10.1002/slct.202104157,1,8,C H O
10.1002/slct.202104213,1,3,C Cl F H N O
10.1002/slct.202104431,1,48,C H K O S
10.1002/slct.202104617,1,8,C H O Si
10.1002/slct.202200052,1,20,C H N O S
10.1002/slct.202200174,1,42,C H O
10.1002/slct.202200633,1,147,C H N O
10.1002/slct.202201313,1,2,C H N O
10.1002/slct.202201315,1,1,C H N O
10.1002/slct.202201334,1,41,C H N O Pd
10.1002/slct.202201336,1,2,C H O
10.1002/slct.202201363,1,21,C H N O P S
10.1002/slct.202201559,1,1,Al Cl F Mg N Na Ne O P S Si
10.1002/slct.202201768,1,128,C H O
10.1002/slct.202201784,1,5,C
10.1002/slct.202201936,1,2,H He Li
10.1002/slct.202202049,1,4,Ac Ag Al Am Ar As At Au B Ba Be Bh Bi Bk Br C Ca Cd Ce Cf Cl Cm Cn Co Cr Cs Cu Db Ds Dy Er Es Eu F Fe Fl Fm Fr Ga Gd Ge H He Hf Hg Ho Hs I In Ir K Kr La Li Lr Lu Lv Mc Md Mg Mn Mo Mt N Na Nb Nd Ne Nh Ni No Np O Os P Pa Pb Pd Pm Po Pr Pt Pu Ra Rb Re Rf Rg Rh Rn Ru S Sb Sc Se Sg Si Sm Sn Sr Ta Tb Tc Te Th Ti Tl Tm Ts U V W Xe Y Yb Zn Zr
10.1002/slct.202202354,1,45,H
10.1002/slct.202202357,1,1,Si
10.1002/slct.202202553,1,5,C H O
10.1002/slct.202202564,1,2,C H N
10.1002/slct.202202728,1,51,H
10.1002/slct.202202731,1,16,C H K O
10.1002/slct.202202901,1,16,C Cu H N
10.1002/slct.202202957,1,22,C H N
10.1002/slct.202202971,1,6,C H N S
10.1002/slct.202203015,1,4,C H N
10.1002/slct.202203087,1,34,C H O
10.1002/slct.202203127,1,20,C F H O
10.1002/slct.202203173,1,1,O W
10.1002/slct.202203235,1,3,C H N O
10.1002/slct.202203307,1,3,C Fe H O
10.1002/slct.202203326,1,4,C H N O
