ArticleURL,Reaction_Class,Title,Year,Cites,Abstract
https://www.science.org/doi/abs/10.1126/sciadv.ads7054,"['MigratoryInsertion', 'CHActivation', 'TransitionMetal']",Multiple B-site doping suppresses ion migration in halide perovskites,2025,1,"… -principles study combining density functional theory (DFT) and machine learning … migration, elucidating the underlying mechanism by which strain engineering mitigates ion migration …"
https://www.science.org/doi/abs/10.1126/sciadv.adj2486,"['OxidativeAddition', 'TransitionMetal', 'MigratoryInsertion', 'betaElimination', 'CHActivation', 'MetalCatalyzed', 'KetoneHydrogenation']",Wittig/B─H insertion reaction: A unique access to trisubstituted Z-alkenes,2023,9,"… ; instead, the Z/E selectivity arises during insertion of the carbene into the B─H bond. Therefore, we performed density functional theory calculations on 4ra as a model compound by …"
https://www.science.org/doi/abs/10.1126/sciadv.adi1370,"['OxidativeAddition', 'TransitionMetal', 'MigratoryInsertion', 'betaElimination', 'CHActivation', 'CrossCoupling', 'MetalCatalyzed', 'Photoredox']",Sulfonium-based precise alkyl transposition reactions,2023,14,"… Density functional theory calculations was used to shed light on the mechanistic underpinnings of this alkyl transposition reaction using the M06-2X method (44, 45) on the 6-311+G(d,p…"
https://www.science.org/doi/abs/10.1126/sciadv.adf1701,"['MigratoryInsertion', 'MetalCatalyzed', 'TransitionMetal']",Density functional theory and ab initio molecular dynamics reveal atomistic mechanisms for carbonate clumped isotope reordering,2023,10,"… density functional theory (DFT) and constrained ab initio molecular dynamics (cAIMD). First, we calculate the free energy of activation (ΔA ‡ ) of the thermodynamically favored clumping …"
https://www.science.org/doi/abs/10.1126/sciadv.adm7221,"['MigratoryInsertion', 'TransitionMetal', 'CrossCoupling']",Tunable ion energy barrier modulation through aliovalent halide doping for reliable and dynamic memristive neuromorphic systems,2024,2,"… To systematically understand the effect of fluorine on switching speed, we perform DFT calculations on crystalline TiO 2−x phases. While it would be ideal to investigate the effect in …"
https://www.science.org/doi/abs/10.1126/sciadv.aap9096,"['MigratoryInsertion', 'betaElimination', 'TransitionMetal']",Dislocation-driven growth of two-dimensional lateral quantum-well superlattices,2018,51,"… Using the DFT-based climbing image nudged elastic band (DFT-CINEB) method, we first calculated the substitution barrier in a perfect WSe 2 lattice (see Materials and Methods and fig. …"
https://www.science.org/doi/abs/10.1126/sciadv.aay5849,"['TransitionMetal', 'MigratoryInsertion', 'betaElimination', 'CHActivation', 'MetalCatalyzed']",Imaging an unsupported metal–metal bond in dirhenium molecules at the atomic scale,2020,49,"… Our density functional theory (DFT) calculations for Re 2 match well with the experimentally observed distances, predicting Re–Re bond lengths of 0.21 nm for a free (nonbonded) Re 2 …"
https://www.science.org/doi/abs/10.1126/sciadv.adk9928,"['MigratoryInsertion', 'MetalCatalyzed', 'CHActivation', 'TransitionMetal']",Spatial evolution of the proton-coupled Mott transition in correlated oxides for neuromorphic computing,2024,8,"… To understand the lattice deformation of SNO driven by the insertion of hydrogen ions in more detail, density functional theory (DFT) calculations were carried out, as illustrated in Fig. 2 (…"
https://www.science.org/doi/abs/10.1126/sciadv.abd9045,"['MigratoryInsertion', 'CHActivation']",Intrapore energy barriers govern ion transport and selectivity of desalination membranes,2020,269,"… Supported by density functional theory simulations, we demonstrate that electrostatic interactions between permeating counterion and fixed charges on the membrane substantially …"
https://www.science.org/doi/abs/10.1126/sciadv.adn9959,"['MigratoryInsertion', 'betaElimination', 'CHActivation', 'TransitionMetal']","Unraveling electronic origins for boosting thermoelectric performance of p-type (Bi,Sb)2Te3",2024,18,"… DFT calculations corroborated the high N V and the large m* in p-type Bi 2−x Sb x Te 3 , but … These findings are also confirmed by our DFT calculations (see fig. S6) and align well with …"
https://www.science.org/doi/abs/10.1126/sciadv.aax5587,"['OxidativeAddition', 'TransitionMetal', 'MigratoryInsertion', 'CHActivation', 'CrossCoupling']",Enabling reversible redox reactions in electrochemical cells using protected LiAl intermetallics as lithium metal anodes,2019,106,… 2 works as an effective platform and channel to and for the flow of Li during Li migration. The DFT results show that lithiation produces the phase transition from a MoS 2 2H– to a MoS 2 …
