ArticleURL,Reaction_Class,Title,Year,Cites,Abstract
https://pubs.acs.org/doi/abs/10.1021/ja0707714,['Carbonylation'],Radical Carbonylation with [11C]Carbon Monoxide Promoted by Oxygen-Centered Radicals:  Experimental and DFT Studies of the Mechanism,2007,34,"… Furthermore, investigating the applicability of photoinitiated radical carbonylation to the synthesis … To rationalize our findings and place them in a proper context of radical carbonylation …"
https://pubs.acs.org/doi/abs/10.1021/ja109812r,['Carbonylation'],When does carbonylation of carbenes yield ketenes? A theoretical study with implications for synthesis,2011,82,"… Since the ketene structure is found to be an energy minimum using ab initio (MP2/def2-TZVPP) calculations as well as three different DFT methods, we think that the surprising finding of …"
https://pubs.acs.org/doi/abs/10.1021/jacs.0c09938,['Carbonylation'],Realizing metal-free carbene-catalyzed carbonylation reactions with CO,2020,36,… discovery of metal-free catalyzed carbonylation reactions. … to turn our attention to catalytic carbonylation reactions with carbon … carbonylation of an o-quinone to give a cyclic carbonate. …
https://pubs.acs.org/doi/abs/10.1021/ja408815k,['Carbonylation'],Carbonylation reactions of intramolecular vicinal frustrated phosphane/borane lewis pairs,2013,104,"… The DFT calculations were carried out for the carbonylation reaction of 7 (see Table 1, for details see the Supporting Information). These results reveal that the formation of 8 in the gas …"
https://pubs.acs.org/doi/abs/10.1021/ja003879r,['Carbonylation'],Synthetic and theoretical studies on group-transfer imidoylation of organotellurium compounds. Remarkable reactivity of isonitriles in comparison with carbon …,2001,114,… in theoretical studies with density functional theory calculations using the B3LYP hybrid functional. The calculations suggest that both carbonylation and imidoylation proceed with low …
https://pubs.acs.org/doi/abs/10.1021/ja208652n,['Carbonylation'],Silacarboxylic acids as efficient carbon monoxide releasing molecules: synthesis and application in palladium-catalyzed carbonylation reactions,2011,304,… Transition-metal-catalyzed carbonylations represents an important class of reactions for the effective preparation of an array of carbonyl-containing compounds. Characteristic of many …
https://pubs.acs.org/doi/abs/10.1021/ja075008o,['Carbonylation'],… Detection and Theoretical Confirmation of the Role of Cr2 (CO) 5 (C5R5) 2 and⊙ Cr (CO) 2 (ketene)(C5R5) as Intermediates in Carbonylation of NN CHSiMe3 to OC …,2007,43,"… DFT methods were used in this study. The first functional was the B3LYP method, which is a hybrid HF/DFT … The other DFT method used in the present paper was BP86, which combines …"
https://pubs.acs.org/doi/abs/10.1021/ja307411p,['Carbonylation'],Mechanistic features of isomerizing alkoxycarbonylation of methyl oleate,2012,176,… DFT yields a barrier for methanolysis of ΔG ⧧ = 29.7 kcal mol –1 for the linear (8) vs ΔG ⧧ = … The reversible nature of this CO insertion is further corroborated by DFT studies (Figures S44 …
https://pubs.acs.org/doi/abs/10.1021/ja072704f,['Carbonylation'],… of Alkyl Radicals to Transition-Metal-Coordinated CO:  Calculation of the Reaction of [Ru(CO)5] and Related Complexes and Relevance to Alkane Carbonylation,2008,22,"… The Radom group also evaluated some density functional methods (DFT), 21,22 and found the popular B3LYP hybrid Hartree Fock/DFT method based on the implementation by Becke, …"
https://pubs.acs.org/doi/abs/10.1021/jacs.3c00004,['Carbonylation'],Carbonylative formal cycloaddition between alkylarenes and aldimines enabled by palladium-catalyzed double C–H bond activation,2023,33,"… sequential double C–H bond activation and carbonylation in the presence of CO, which … Based on the above results and DFT-calculation by Wang and co-workers, (19) a tentative …"
https://pubs.acs.org/doi/abs/10.1021/jacs.3c06674,"['Carbonylation', 'Photoredox']",Data science-enabled palladium-catalyzed enantioselective aryl-carbonylation of sulfonimidamides,2023,38,"… We report a palladium-catalyzed cross-coupling method for the enantioselective aryl-carbonylation of sulfonimidamides. Using data science techniques, a virtual library of calculated …"
https://pubs.acs.org/doi/abs/10.1021/jacs.3c01224,['Carbonylation'],Light-mediated synthesis of aliphatic anhydrides by Cu-catalyzed carbonylation of alkyl halides,2023,25,"… carbonylation reactions in industry utilize precious metal catalysts, recently there has been significant research effort toward developing carbonylation … -catalyzed carbonylation reactions…"
https://pubs.acs.org/doi/abs/10.1021/jacs.4c14476,['Carbonylation'],Chemical Carbonylation of Arginine in Peptides and Proteins,2025,1,"… The analysis of the intact mass spectra of carbonylated proteins showed no breakage of the disulfides, further confirming the highly chemoselective nature of our carbonylation platform. …"
https://pubs.acs.org/doi/abs/10.1021/ja805607m,['Carbonylation'],Enzyme-like specificity in zeolites: a unique site position in mordenite for selective carbonylation of methanol and dimethyl ether with CO,2008,342,"… the carbonylation of methanol and DME with mordenite, it is of much interest to discover which are the active sites involved in the carbonylation … at the highest DFT level were performed. …"
https://pubs.acs.org/doi/abs/10.1021/ja4065188,"['TransitionMetal', 'Carbonylation']",Deep-blue phosphorescence from perfluoro carbonyl-substituted iridium complexes,2013,273,… Density function theory (DFT) calculations showed that these … Time-dependent DFT (TD-DFT) calculations suggested that … identically in the perfluoro carbonylated phenyl part of one of …
https://pubs.acs.org/doi/abs/10.1021/ja5106927,['Carbonylation'],Methane to acetic acid over Cu-exchanged zeolites: mechanistic insights from a site-specific carbonylation reaction,2015,196,"… The carbonylation reaction, known to occur predominantly in … side pockets undergo carbonylation. Coupled spectroscopic … from the oxidation site to the carbonylation site. Our results …"
https://pubs.acs.org/doi/abs/10.1021/ja508447d,['Carbonylation'],A comprehensive mechanistic picture of the isomerizing alkoxycarbonylation of plant oils,2014,144,"… Compared to higher olefins, ethylene carbonylation under … This process and further carbonylation are slow compared to … Supported by DFT studies, this indicates that methanolysis is …"
https://pubs.acs.org/doi/abs/10.1021/ja053650h,['Carbonylation'],"Intramolecular carbonylation reactions with recyclable palladium-complexed dendrimers on silica: Synthesis of oxygen, nitrogen, or sulfur-containing medium ring …",2005,185,… The transition-metal-catalyzed carbonylation reaction is a powerful tool in organic chemistry… These results stimulated us to explore intramolecular carbonylation reactions with recyclable …
https://pubs.acs.org/doi/abs/10.1021/jacs.1c08036,['Carbonylation'],Molecular understanding of the catalytic consequence of ketene intermediates under confinement,2021,64,"… carbonylation reactions. In this work, the roles of ketene and its derivates (viz., acylium ion and surface acetyl) associated with direct C–C bond coupling during the carbonylation … DFT …"
https://pubs.acs.org/doi/abs/10.1021/jacs.0c06577,"['HomogeneousCatalysis', 'Carbonylation']",(PPh4)2: A Copper Hydride Nanocluster with a Bisquare Antiprismatic Core,2020,98,"… The density functional theory is used to study the electronic … for aniline carbonylation under mild reaction conditions. … As a double check, we also started a DFT optimization from the …"
